iter	RMSE
0	11134.76568
1	10320.87306
2	9647.549334
3	9002.292387
4	8460.113164
5	7972.657528
6	7498.778589
7	7108.661239
8	6762.175837
9	6459.815773
10	6166.612742
11	5961.023891
12	5759.090321
13	5602.423335
14	5450.92254
15	5311.915168
16	5201.331378
17	5092.521795
18	4996.58832
19	4912.715952
20	4831.731735
21	4776.262236
22	4723.105422
23	4665.942577
24	4621.154114
25	4591.742235
26	4562.376788
27	4534.096692
28	4508.783149
29	4473.520238
30	4449.223271
31	4427.726087
32	4404.307824
33	4391.087976
34	4379.974475
35	4357.869893
36	4338.083882
37	4324.698237
38	4313.009481
39	4305.012331
40	4286.560199
41	4275.505814
42	4263.032626
43	4252.867964
44	4248.209527
45	4236.88288
46	4229.392798
47	4227.419493
48	4222.226822
49	4211.418482
