iter	Passed	Remaining
0	2	250
1	4	218
2	6	200
3	7	172
4	9	184
5	11	187
6	13	182
7	15	180
8	17	175
9	18	163
10	20	162
11	21	160
12	24	161
13	26	162
14	28	160
15	30	158
16	32	156
17	33	152
18	35	150
19	36	146
20	38	145
21	40	145
22	42	143
23	44	141
24	46	140
25	48	138
26	50	136
27	52	135
28	54	134
29	57	133
30	58	131
31	61	129
32	62	127
33	63	123
34	65	121
35	67	119
36	69	118
37	71	116
38	73	115
39	75	113
40	77	111
41	79	109
42	81	108
43	83	106
44	86	105
45	88	103
46	90	102
47	92	100
48	94	98
49	96	96
50	98	94
51	100	92
52	102	90
53	104	88
54	106	86
55	107	84
56	109	82
57	111	80
58	112	78
59	114	76
60	117	74
61	119	72
62	120	70
63	122	69
64	124	67
65	125	64
66	127	62
67	129	60
68	131	59
69	134	57
70	136	55
71	138	53
72	140	52
73	142	50
74	144	48
75	146	46
76	149	44
77	151	42
78	152	40
79	154	38
80	156	36
81	158	34
82	160	32
83	162	31
84	164	29
85	166	27
86	168	25
87	170	23
88	172	21
89	174	19
90	176	17
91	178	15
92	181	13
93	182	11
94	185	9
95	187	7
96	188	5
97	190	3
98	193	1
99	195	0
