iter	RMSE
0	11665.37266
1	11300.5722
2	10977.63098
3	10644.51698
4	10349.19492
5	10060.62349
6	9759.245362
7	9482.420863
8	9216.418283
9	8975.748514
10	8725.374018
11	8514.136775
12	8303.207119
13	8134.639927
14	7946.767015
15	7758.928689
16	7577.368866
17	7412.939496
18	7249.00222
19	7089.04429
20	6935.638366
21	6808.785922
22	6667.646987
23	6546.97926
24	6411.769012
25	6297.456122
26	6187.59216
27	6082.734977
28	5994.478028
29	5899.41261
30	5806.600728
31	5725.296342
32	5641.870309
33	5567.994173
34	5490.929662
35	5420.412977
36	5353.249507
37	5294.129472
38	5235.58545
39	5175.697705
40	5124.134864
41	5073.474476
42	5029.053608
43	4984.382583
44	4945.340664
45	4902.754142
46	4864.833261
47	4828.264479
48	4798.797042
49	4768.54532
50	4738.535358
51	4709.412676
52	4686.826263
53	4661.468462
54	4634.394154
55	4609.010392
56	4586.611979
57	4567.694193
58	4545.693281
59	4527.366826
60	4507.081059
61	4489.953457
62	4471.444381
63	4454.777726
64	4436.672852
65	4421.23713
66	4404.970993
67	4396.291115
68	4381.224883
69	4366.538754
70	4354.345159
71	4343.277512
72	4331.985545
73	4320.992163
74	4309.187258
75	4300.478355
76	4288.884196
77	4279.671917
78	4270.059101
79	4257.207176
80	4249.666789
81	4242.222049
82	4236.712038
83	4231.742468
84	4225.058998
85	4218.613689
86	4212.701777
87	4205.541077
88	4197.624872
89	4190.792172
90	4183.929571
91	4179.56859
92	4173.801511
93	4166.076619
94	4161.345167
95	4155.129837
96	4150.347189
97	4147.374473
98	4141.741785
99	4135.79088
100	4131.008874
101	4127.443582
102	4124.030284
103	4116.197242
104	4112.962877
105	4105.844863
106	4101.6479
107	4099.905696
108	4096.422906
109	4091.549489
110	4087.393761
111	4083.543359
112	4078.175651
113	4073.120069
114	4069.118326
115	4063.344086
116	4059.889764
117	4056.771093
118	4052.528342
119	4051.604257
120	4045.164101
121	4043.693001
122	4040.778919
123	4034.706661
124	4030.705377
125	4028.241247
126	4021.267988
127	4014.190101
128	4009.730433
129	4003.776586
130	4000.418424
131	3995.977842
132	3991.080746
133	3985.51466
134	3984.086705
135	3982.876911
136	3978.762289
137	3972.083401
138	3968.453822
139	3966.079777
140	3961.629477
141	3959.882089
142	3953.917266
143	3951.585077
144	3948.127418
145	3945.366664
146	3944.092881
147	3938.047703
148	3932.317134
149	3929.554335
150	3927.033212
151	3924.805016
152	3920.05497
153	3916.368413
154	3913.595707
155	3912.165456
156	3908.407694
157	3905.194267
158	3904.556079
159	3898.390101
160	3895.518359
161	3890.726411
162	3887.189021
163	3885.215101
164	3879.768311
165	3877.287508
166	3872.029888
167	3868.492382
168	3862.015028
169	3860.353722
170	3856.964248
171	3854.557498
172	3850.526027
173	3847.670198
174	3845.316992
175	3844.303095
176	3841.87996
177	3839.768174
178	3838.3837
179	3834.600547
180	3830.674957
181	3829.037573
182	3824.868732
183	3823.591602
184	3820.579525
185	3816.642567
186	3814.887217
187	3809.606161
188	3805.967935
189	3805.57595
190	3802.175625
191	3800.030518
192	3798.844771
193	3797.168467
194	3795.076028
195	3791.255237
196	3786.431975
197	3783.150487
198	3780.75482
199	3774.933106
200	3772.877943
201	3770.999571
202	3768.51294
203	3765.100786
204	3762.306082
205	3759.948375
206	3757.321591
207	3755.958724
208	3754.537893
209	3752.530597
210	3751.6263
211	3750.752799
212	3745.868597
213	3743.289973
214	3739.427356
215	3732.606152
216	3730.783248
217	3726.32204
218	3725.177093
219	3718.739141
220	3716.096781
221	3714.016415
222	3709.906281
223	3704.989051
224	3702.990723
225	3700.219208
226	3698.393057
227	3695.261501
228	3693.074007
229	3692.391275
230	3691.084039
231	3690.022806
232	3688.265222
233	3687.094527
234	3686.149673
235	3684.024659
236	3682.086889
237	3679.705457
238	3678.4286
239	3677.341032
240	3675.448102
241	3671.133622
242	3668.324194
243	3666.86192
244	3664.083078
245	3661.696443
246	3657.394135
247	3653.061606
248	3650.65836
249	3649.415671
250	3647.782211
251	3646.116861
252	3645.498651
253	3644.075357
254	3642.581481
255	3641.45884
256	3639.869738
257	3634.186715
258	3632.506639
259	3629.785433
260	3623.954415
261	3621.611291
262	3619.00158
263	3616.131857
264	3613.60843
265	3611.294682
266	3609.185094
267	3607.348762
268	3604.910519
269	3604.400117
270	3603.453042
271	3597.72017
272	3596.038449
273	3594.851744
274	3592.982592
275	3591.748269
276	3586.250392
277	3585.465503
278	3583.09694
279	3582.044399
280	3581.477913
281	3578.081658
282	3574.793805
283	3571.760699
284	3571.172683
285	3568.140325
286	3566.887748
287	3566.26911
288	3564.352103
289	3560.188401
290	3559.281466
291	3558.469367
292	3552.501867
293	3550.749757
294	3549.427314
295	3548.440961
296	3547.008298
297	3545.827564
298	3545.038837
299	3543.621169
300	3542.577949
301	3539.550885
302	3534.967878
303	3534.301241
304	3533.878275
305	3532.981194
306	3531.334399
307	3530.972518
308	3529.644582
309	3528.976727
310	3526.052399
311	3524.071439
312	3523.525337
313	3522.863703
314	3521.776302
315	3517.555326
316	3515.217844
317	3514.863735
318	3514.342504
319	3509.297505
320	3505.303746
321	3504.149232
322	3501.48826
323	3497.856049
324	3492.269965
325	3491.37786
326	3488.901762
327	3488.00248
328	3487.382648
329	3485.755334
330	3481.337796
331	3480.605616
332	3479.748029
333	3474.931458
334	3474.49989
335	3473.962501
336	3471.286714
337	3468.977755
338	3468.50337
339	3465.917102
340	3463.659978
341	3461.154145
342	3455.194423
343	3454.245508
344	3449.993737
345	3445.263677
346	3443.765589
347	3441.788987
348	3437.740185
349	3437.038336
350	3434.752721
351	3434.10817
352	3429.493037
353	3427.662777
354	3427.28247
355	3424.555881
356	3421.795629
357	3419.258413
358	3413.400382
359	3413.135911
360	3410.232983
361	3409.799157
362	3409.139927
363	3408.627443
364	3403.04706
365	3399.07418
366	3394.730714
367	3393.826365
368	3393.305528
369	3392.444965
370	3391.651844
371	3389.575912
372	3387.216118
373	3385.354797
374	3385.092679
375	3384.689592
376	3379.908034
377	3379.485568
378	3376.773845
379	3374.344146
380	3370.837665
381	3368.927704
382	3367.51569
383	3367.181728
384	3365.703247
385	3365.102052
386	3362.861734
387	3361.929755
388	3359.564695
389	3359.169125
390	3354.73509
391	3353.046422
392	3351.645782
393	3349.412728
394	3347.398216
395	3346.843901
396	3346.545775
397	3342.047524
398	3338.894259
399	3337.916244
400	3337.580472
401	3334.410092
402	3332.317355
403	3332.00488
404	3329.847416
405	3329.163952
406	3328.555259
407	3326.076133
408	3323.323128
409	3319.338273
410	3318.794194
411	3318.068734
412	3317.741036
413	3315.4795
414	3314.150575
415	3312.180223
416	3310.982335
417	3310.266758
418	3309.525865
419	3307.634165
420	3305.268223
421	3303.222393
422	3301.134015
423	3296.001425
424	3295.303019
425	3290.81638
426	3288.657879
427	3283.850364
428	3282.604743
429	3281.853596
430	3280.33753
431	3279.773463
432	3277.737447
433	3276.289355
434	3274.344437
435	3271.71137
436	3271.209319
437	3269.597003
438	3268.257263
439	3267.774766
440	3265.811126
441	3264.554293
442	3263.089893
443	3259.92087
444	3259.227947
445	3258.967869
446	3254.38807
447	3252.482181
448	3250.161092
449	3248.260365
450	3246.419543
451	3242.72635
452	3242.396322
453	3237.193779
454	3235.944578
455	3233.989176
456	3232.002603
457	3231.711404
458	3227.695267
459	3227.233334
460	3225.946562
461	3225.637087
462	3225.343649
463	3221.43809
464	3220.183204
465	3219.897261
466	3218.416346
467	3218.204991
468	3216.459581
469	3216.182449
470	3214.795222
471	3210.628971
472	3208.696628
473	3204.738382
474	3202.423399
475	3202.188338
476	3201.856
477	3200.469333
478	3200.055663
479	3199.403668
480	3198.795393
481	3196.510519
482	3194.80691
483	3190.962686
484	3188.499341
485	3187.191984
486	3185.232434
487	3181.539756
488	3177.075351
489	3176.674577
490	3173.272123
491	3168.479649
492	3168.238193
493	3166.255186
494	3161.928956
495	3161.076844
496	3160.712655
497	3160.472848
498	3157.130445
499	3152.307376
500	3147.939783
501	3145.848069
502	3143.844016
503	3142.323542
504	3140.474966
505	3140.221319
506	3139.70523
507	3137.375826
508	3133.016982
509	3132.720712
510	3131.655238
511	3131.484612
512	3131.255719
513	3126.046124
514	3125.138916
515	3123.716983
516	3122.239429
517	3117.98875
518	3117.768128
519	3116.144835
520	3114.598888
521	3112.890366
522	3110.371897
523	3108.944992
524	3107.28207
525	3105.924279
526	3104.585811
527	3104.331784
528	3102.666831
529	3100.672879
530	3096.050715
531	3094.763062
532	3093.060106
533	3090.720528
534	3089.451759
535	3085.587374
536	3082.493049
537	3081.317264
538	3081.114478
539	3080.561078
540	3080.352662
541	3075.85525
542	3072.14697
543	3069.404779
544	3065.058126
545	3063.838486
546	3062.478831
547	3059.86036
548	3055.106205
549	3050.787972
550	3050.621664
551	3049.55943
552	3046.705298
553	3044.687107
554	3040.272512
555	3038.890706
556	3038.571679
557	3037.340077
558	3035.740163
559	3034.238023
560	3030.423706
561	3029.903042
562	3029.709818
563	3028.609362
564	3025.436773
565	3024.459805
566	3023.368596
567	3023.221021
568	3021.650579
569	3021.405891
570	3020.323934
571	3019.821062
572	3017.936355
573	3017.742595
574	3013.755488
575	3010.574682
576	3008.971142
577	3007.331543
578	3002.974328
579	3002.84996
580	3001.794222
581	3001.59953
582	2998.624146
583	2997.473152
584	2997.293124
585	2997.094771
586	2996.87783
587	2992.762956
588	2991.799911
589	2988.644003
590	2987.635431
591	2985.637201
592	2983.562781
593	2982.44661
594	2982.276886
595	2982.110427
596	2980.682937
597	2978.006115
598	2975.192958
599	2973.356027
600	2972.56311
601	2972.415973
602	2970.419379
603	2969.506536
604	2969.390476
605	2968.334512
606	2966.958044
607	2965.818011
608	2965.609915
609	2964.978665
610	2963.886116
611	2960.111617
612	2958.063795
613	2957.048695
614	2955.688233
615	2952.965471
616	2949.712605
617	2946.034065
618	2943.95851
619	2942.599327
620	2941.484348
621	2941.337473
622	2940.615112
623	2939.813591
624	2938.727537
625	2937.918752
626	2936.730602
627	2936.596598
628	2934.985773
629	2933.774524
630	2933.595594
631	2931.245915
632	2928.749012
633	2926.300905
634	2925.599222
635	2924.175089
636	2921.940307
637	2921.25028
638	2920.718547
639	2916.477588
640	2915.499406
641	2915.328601
642	2915.153847
643	2913.763886
644	2912.667372
645	2911.26776
646	2911.164277
647	2910.019876
648	2909.134769
649	2907.267402
650	2906.828342
651	2906.305615
652	2905.373966
653	2902.05169
654	2901.400573
655	2900.422225
656	2898.446709
657	2897.824319
658	2896.785797
659	2896.696475
660	2895.399613
661	2893.580758
662	2892.917518
663	2892.713334
664	2891.227399
665	2888.726258
666	2888.529005
667	2885.518497
668	2884.179491
669	2883.596807
670	2882.648885
671	2882.534147
672	2881.500208
673	2880.403804
674	2877.057529
675	2876.069743
676	2873.822373
677	2871.953203
678	2871.610575
679	2870.15782
680	2867.208653
681	2865.534418
682	2865.416232
683	2861.80991
684	2860.357672
685	2859.289859
686	2858.701183
687	2858.162626
688	2855.732254
689	2855.13044
690	2853.857023
691	2850.775179
692	2850.312821
693	2848.563006
694	2846.365756
695	2844.865907
696	2843.663309
697	2843.095768
698	2842.215332
699	2841.547236
700	2839.752743
701	2837.953221
702	2837.078415
703	2835.485282
704	2835.436567
705	2833.603398
706	2832.848519
707	2831.349634
708	2829.127021
709	2826.985599
710	2825.632681
711	2824.888103
712	2822.681109
713	2821.32314
714	2819.474644
715	2817.272214
716	2814.458711
717	2813.44082
718	2812.356991
719	2811.703104
720	2810.624426
721	2809.439515
722	2806.002206
723	2805.875016
724	2803.831317
725	2800.421826
726	2798.540219
727	2796.764082
728	2796.691295
729	2796.204767
730	2796.10827
731	2795.600139
732	2794.278684
733	2794.153928
734	2792.476534
735	2790.416051
736	2789.149999
737	2787.818901
738	2786.088635
739	2785.969064
740	2785.882734
741	2784.881673
742	2784.797752
743	2783.369653
744	2782.001747
745	2781.952
746	2781.387967
747	2781.020901
748	2779.067421
749	2777.673952
750	2776.316459
751	2776.148138
752	2773.93963
753	2773.107564
754	2773.059945
755	2769.843311
756	2769.055139
757	2766.185427
758	2764.114311
759	2763.203318
760	2762.837331
761	2761.123878
762	2759.521997
763	2757.479281
764	2756.372374
765	2755.296778
766	2754.656921
767	2753.096219
768	2751.118126
769	2750.709098
770	2750.093787
771	2748.992871
772	2747.927589
773	2745.415359
774	2742.878547
775	2741.026404
776	2740.026136
777	2737.92081
778	2737.782922
779	2737.652148
780	2736.350118
781	2735.347353
782	2734.325858
783	2732.702372
784	2731.680792
785	2731.546411
786	2730.248898
787	2728.871747
788	2725.759862
789	2725.70278
790	2725.561968
791	2725.251588
792	2722.935108
793	2722.807588
794	2720.760425
795	2719.794866
796	2719.746889
797	2719.68528
798	2719.029647
799	2717.168815
800	2717.100962
801	2714.492198
802	2713.563489
803	2710.966365
804	2710.07743
805	2709.51296
806	2708.773706
807	2708.091686
808	2706
809	2702.743156
810	2701.699709
811	2701.58372
812	2700.230966
813	2698.949444
814	2697.076582
815	2695.514437
816	2695.220007
817	2693.10335
818	2690.582399
819	2687.543284
820	2685.655435
821	2683.96037
822	2682.025495
823	2681.920947
824	2681.894088
825	2680.593713
826	2680.524133
827	2678.737977
828	2677.851473
829	2677.768765
830	2676.246315
831	2675.909945
832	2675.097521
833	2674.245008
834	2672.227446
835	2670.407018
836	2668.291677
837	2667.529824
838	2665.654387
839	2663.312879
840	2662.583587
841	2661.324276
842	2660.125818
843	2659.283013
844	2659.16677
845	2657.908725
846	2656.386173
847	2652.954515
848	2651.768171
849	2650.786004
850	2650.018289
851	2648.721409
852	2647.972213
853	2647.401811
854	2645.883392
855	2644.776783
856	2643.406634
857	2642.297362
858	2642.229466
859	2638.988993
860	2638.254754
861	2637.307392
862	2635.842611
863	2634.111897
864	2633.396126
865	2632.196431
866	2631.500395
867	2630.259792
868	2629.579447
869	2628.534381
870	2627.765657
871	2626.854983
872	2626.157222
873	2625.032103
874	2624.293632
875	2623.427946
876	2623.15813
877	2621.191872
878	2619.778715
879	2618.471836
880	2615.852314
881	2614.116599
882	2614.009559
883	2612.225728
884	2612.155052
885	2609.251158
886	2607.964016
887	2607.48529
888	2605.532032
889	2604.412987
890	2603.402866
891	2602.617631
892	2600.853448
893	2600.228173
894	2598.513941
895	2597.888241
896	2597.028377
897	2595.426648
898	2595.344522
899	2595.294578
900	2592.439733
901	2591.882672
902	2591.849731
903	2590.209351
904	2588.20393
905	2586.580001
906	2585.061875
907	2583.079
908	2581.396775
909	2579.424684
910	2578.011475
911	2577.468661
912	2576.866923
913	2576.840424
914	2576.179176
915	2574.854751
916	2574.19156
917	2571.702137
918	2570.572386
919	2569.033558
920	2568.314356
921	2567.808092
922	2566.393546
923	2565.301644
924	2564.207973
925	2561.533649
926	2560.261155
927	2558.997305
928	2558.192067
929	2556.986805
930	2556.227849
931	2555.893582
932	2555.14407
933	2552.329743
934	2550.010901
935	2549.350872
936	2546.817402
937	2545.335493
938	2544.513727
939	2544.427099
940	2543.3559
941	2542.97876
942	2541.651732
943	2540.759109
944	2539.336778
945	2538.081825
946	2536.358791
947	2535.749767
948	2535.406502
949	2534.111491
950	2533.375687
951	2531.730667
952	2530.640503
953	2529.972991
954	2528.750776
955	2528.218839
956	2527.679834
957	2526.243665
958	2524.688523
959	2524.081698
960	2523.764673
961	2523.430519
962	2522.451116
963	2521.07855
964	2520.823059
965	2520.142798
966	2518.682137
967	2517.30206
968	2516.358617
969	2515.802644
970	2515.260931
971	2514.364002
972	2513.332328
973	2512.337827
974	2510.313175
975	2509.574462
976	2509.222644
977	2509.133699
978	2507.104766
979	2507.053613
980	2505.543651
981	2503.487553
982	2502.922666
983	2501.691316
984	2499.627923
985	2498.393408
986	2497.524754
987	2496.557865
988	2495.867848
989	2494.85817
990	2494.268804
991	2492.614592
992	2491.705041
993	2489.804255
994	2488.979007
995	2486.395189
996	2485.128255
997	2484.117338
998	2482.870074
999	2482.84101
