iter	Passed	Remaining
0	20	20244
1	35	17954
2	55	18506
3	58	14633
4	61	12287
5	93	15437
6	95	13543
7	102	12650
8	105	11585
9	107	10614
10	111	10004
11	154	12696
12	159	12146
13	173	12237
14	192	12627
15	201	12417
16	207	12004
17	221	12070
18	223	11553
19	239	11721
20	266	12417
21	270	12011
22	283	12041
23	288	11730
24	319	12471
25	330	12394
26	333	12015
27	335	11661
28	379	12704
29	382	12368
30	417	13048
31	428	12973
32	431	12635
33	433	12325
34	473	13062
35	477	12789
36	491	12796
37	496	12559
38	523	12901
39	528	12686
40	541	12676
41	543	12398
42	545	12147
43	593	12892
44	637	13536
45	643	13348
46	659	13362
47	691	13722
48	701	13612
49	705	13404
50	707	13173
51	739	13484
52	740	13237
53	746	13076
54	749	12875
55	773	13036
56	780	12913
57	785	12755
58	789	12587
59	791	12403
60	809	12468
61	917	13877
62	922	13724
63	925	13532
64	992	14280
65	1033	14619
66	1039	14477
67	1041	14276
68	1071	14451
69	1081	14371
70	1085	14203
71	1088	14027
72	1187	15079
73	1233	15439
74	1237	15257
75	1249	15191
76	1252	15009
77	1282	15164
78	1294	15090
79	1301	14966
80	1396	15847
81	1401	15685
82	1437	15878
83	1449	15807
84	1454	15661
85	1464	15565
86	1513	15881
87	1527	15830
88	1563	16001
89	1574	15915
90	1579	15781
91	1623	16018
92	1643	16023
93	1656	15969
94	1665	15869
95	1669	15725
96	1713	15953
97	1716	15798
98	1719	15647
99	1785	16072
100	1900	16912
101	1937	17053
102	1948	16966
103	1977	17034
104	1982	16899
105	2047	17266
106	2080	17360
107	2081	17193
108	2144	17530
109	2147	17376
110	2162	17318
111	2176	17260
112	2187	17168
113	2240	17415
114	2243	17268
115	2336	17808
116	2341	17673
117	2390	17869
118	2399	17763
119	2401	17608
120	2405	17472
121	2407	17328
122	2452	17489
123	2486	17562
124	2504	17531
125	2511	17424
126	2526	17365
127	2579	17569
128	2605	17592
129	2609	17463
130	2613	17339
131	2618	17216
132	2623	17100
133	2668	17244
134	2684	17201
135	2687	17073
136	2716	17113
137	2719	16988
138	2729	16908
139	2734	16796
140	2782	16953
141	2785	16830
142	2800	16783
143	2817	16747
144	2837	16728
145	2845	16645
146	2854	16565
147	2860	16467
148	2863	16351
149	2879	16318
150	2905	16338
151	2908	16229
152	2925	16196
153	2944	16174
154	2955	16109
155	2959	16009
156	2976	15980
157	3001	15997
158	3003	15887
159	3054	16037
160	3075	16026
161	3078	15924
162	3081	15822
163	3100	15807
164	3107	15728
165	3131	15732
166	3146	15693
167	3152	15614
168	3157	15523
169	3160	15428
170	3179	15412
171	3201	15412
172	3205	15321
173	3207	15227
174	3258	15360
175	3275	15336
176	3305	15370
177	3343	15440
178	3350	15366
179	3356	15292
180	3403	15401
181	3405	15306
182	3422	15278
183	3455	15324
184	3469	15285
185	3488	15267
186	3494	15190
187	3504	15137
188	3508	15054
189	3510	14963
190	3512	14878
191	3527	14844
192	3547	14834
193	3553	14765
194	3557	14684
195	3573	14659
196	3610	14715
197	3667	14853
198	3686	14838
199	3702	14808
200	3714	14764
201	3717	14684
202	3746	14708
203	3751	14639
204	3757	14571
205	3761	14497
206	3763	14418
207	3769	14353
208	3809	14418
209	3814	14350
210	3830	14323
211	3849	14309
212	3857	14253
213	3870	14216
214	3876	14152
215	3878	14079
216	3892	14044
217	3896	13977
218	3915	13964
219	3927	13925
220	3943	13901
221	3947	13833
222	3952	13773
223	3964	13734
224	3987	13734
225	3992	13673
226	3995	13604
227	4032	13655
228	4043	13614
229	4057	13583
230	4061	13520
231	4091	13544
232	4094	13478
233	4105	13440
234	4108	13375
